,hoi,end,Interviewer Name,Part 1 – Outlet Information,S1. City/Division,S2. Name of Outlet,S3. Outlet Address,S4. Land Mark,S5. Outlet Type,Part 2 – Main Questionnaire,Q1. Is Promo running in outlet?,Q1a. Why is Promo not running in Outlet?,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today.,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week.",Q1a. Why is Promo not running in Outlet?/BA was not available,Q1a. Why is Promo not running in Outlet?/Others,Others specify,Q1a. Why is Promo not running in Outlet?.1,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo.1,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week.1,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo.1,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered.1","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out.1",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today..1,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week..1",Q1a. Why is Promo not running in Outlet?/Others.1,Others specify.1,Q2_1. What time did the Promo kick off in the outlet?,Q2_2. Are Consumers winning Prizes,Q2a. Are Consumers redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?/Was told prizes are not available,Q2b. Why are Consumers not redeeming their Prizes?/Not aware they will win prizes,"Q2b. Why are Consumers not redeeming their Prizes?/Don’t Know, just didn’t get the prize",Q3. What are the consumer rewards offered at the outlet,Q4. Are Promo poster Available in the outlet?,Q4a. Are Posters placed in a reasonably visible (strategically placed) location?,Q4b. Please confirm if posters are in good condition,Q4b. Please confirm if posters are in good condition/Poster is in good condition,Q4b. Please confirm if posters are in good condition/Part of Poster is torn off,"Q4b. Please confirm if posters are in good condition/Poster not properly glued/pined to the wall, board etc.",Q5. Are Brand Promoters present in the outlet?,Q5a. Are Brand Promoters dressed in the specified attire?,Q6. Are Brand Promoters actively engaging Consumers at the bar?,Q6a. Are Brand Promoters showing their knowledge of the promotion by clearly explaining winning criteria to the Consumer?,Section 2 Other KPIs,Q7. Are the Guinness drinks (FES /Smooth) served chilled in the outlet when consumers place an order?,"Q8. Kindly provide the selling price of the following brands, where applicable","Q8. Kindly provide the selling price of the following brands, where applicable.1","Q8. Kindly provide the selling price of the following brands, where applicable.2","Q8. Kindly provide the selling price of the following brands, where applicable.3","Q8. Kindly provide the selling price of the following brands, where applicable.4","Q8. Kindly provide the selling price of the following brands, where applicable.5","Q8. Kindly provide the selling price of the following brands, where applicable.6",Q9. Are there other promotions/ activations going on in this outlet?,Q9a.Please provide details of Promotions/Activations.,Any other comments,THANK RESPONDENT AND CLOSE INTERVIEW,GPS Coordinate,Cordinate-Latitude,Cordinate-Longitude,_GPS Coordinate_altitude,_GPS Coordinate_precision,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,street_address,place_id
38,2024-05-10 20:47:16.119,2024-05-10 23:17:47.877,Andrew Opeyemi, ,North,MJ Bar and Garden,Opposite Jos Business School Rayfield,Rayfield,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.8586248 8.9013333 1296.2000732421875 4.051,9.8586248,8.9013333,1296.20007324219,4.051,337894879,5f9aac69-a736-4878-8dea-5e8fe85d5406,2024-05-10 22:28:41, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,39,,
36,2024-05-10 19:58:19.716,2024-05-10 23:18:48.434,Andrew Opeyemi, ,North,Iexplore,Rayfield,Rayfield,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.838283 8.8984371 1286.3 4.775,9.838283,8.8984371,1286.3,4.775,337894870,b298d62d-2be1-41ba-98e2-c0bc062a426f,2024-05-10 22:28:35, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,37,"23319 Barkin Ladi Rd, Jos 930103, Plateau, Nigeria",EiIyMzMxOSBCYXJraW4gTGFkaSBSZCwgSm9zLCBOaWdlcmlhIhwSGgoUChIJGxgL1050UxARmb5Eson9k9AQl7YB
39,2024-05-10 19:18:27.334,2024-05-10 23:21:31.029,Patience Ebenezer, ,North,Millennium Village Garden,"Area 1 Junction, Rayfield","Area 1 Junction, Rayfield",Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.832881 8.8922798 1258.7 4.82,9.832881,8.8922798,1258.7,4.82,337894909,38e2f243-a746-4658-9ebd-c447149533c3,2024-05-10 22:29:04, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,40,"1 Rayfield Rd, Jos 930103, Plateau, Nigeria",EhsxIFJheWZpZWxkIFJkLCBKb3MsIE5pZ2VyaWEiGhIYChQKEglpbmSFTXRTEBGfC8GibGdzmRAB
40,2024-05-10 19:36:03.598,2024-05-10 23:21:17.146,Patience Ebenezer, ,North,Ann-Breeze,"Area 1 Junction, Rayfield",Rayfield,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,"Promo do run only on weekends, but the Brand Ambassadors running the promo are not available today.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.8326021 8.893448 1298.3 4.7,9.8326021,8.893448,1298.3,4.7,337894911,51c222c9-fa32-4ccc-be02-6f5e91539b38,2024-05-10 22:29:05, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,41,,
37,2024-05-10 20:26:42.747,2024-05-10 23:18:28.527,Andrew Opeyemi, ,North,Jane's Garden,Shinko Road Rayfield,Rayfield,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.82107 8.8890683 1289.4000244140625 4.3,9.82107,8.8890683,1289.40002441406,4.3,337894877,ed09d2be-656d-4d45-a765-b560074fc140,2024-05-10 22:28:40, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,38,,
59,2024-05-11 17:15:44.277,2024-05-11 17:22:35.182,Nuhu adaba , ,North,Sharpe corner,Jambutu ,Behind saint John de cross ,BA Led Outlets, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,Recharge card and buy two to get one,Yes,Yes,Poster is in good condition,1, , ,Yes,Yes,Yes,Yes, ,Yes,600,800,800,1000,600,800,700,No, ,No any other promotion going on except that of fes and smooth , ,9.2868999 12.4212133 183.39999999999998 4.157,9.2868999,12.4212133,183.4,4.157,338094149,cfe8a8de-fb10-44f1-8141-90931ff006ff,2024-05-11 16:40:25, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,60,,
5,2024-05-10 18:19:32.314,2024-05-10 18:25:06.009,Nuhu adaba, ,North,Bright Star hotel,21 barrack road,Opposite Adamawa state house of assembly,Self-Run, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,Recharge card,No, , , , , , , , , , ,Yes,600,900,900,1000,700,1000,1000,No, ,No any other promo going on, ,9.2801949 12.4440549 180.7 4.9,9.2801949,12.4440549,180.7,4.9,337837132,baf5bc3c-5ae3-4194-aacd-6d410433ac5e,2024-05-10 17:25:17, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,6,"27 Bauchi St, Jimeta, 640101, Adamawa, Nigeria",Eh0yNyBCYXVjaGkgU3QsIEppbWV0YSwgTmlnZXJpYSIaEhgKFAoSCXuj__spa_wQESwL3alaqzayEBs
8,2024-05-10 18:27:18.434,2024-05-10 18:32:33.791,Nuhu adaba , ,North,Maigemu bar,119 Owerri street jimeta yola ,Close to madam state,Self-Run, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,Recharge card ,No, , , , , , , , , , ,Yes,700,900,900,1000,700,800,700,No, ,No any other promo going on , ,9.2785656 12.4340443 186.29999999999998 4.84,9.2785656,12.4340443,186.3,4.84,337840208,9d08c797-81a5-4074-853a-94245c76082f,2024-05-10 17:38:29, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,9,,
7,2024-05-10 18:32:38.523,2024-05-10 18:38:16.228,Nuhu adaba, ,North,Bonanza guest house,No 14 wukari street jimeta yola,Close to jimeta market,Self-Run, ,Yes, , , , , , , , , , , , , , , , , , , , , ,6PM-7PM,Yes,Yes, , , , ,Recharge card,No, , , , , , , , , , ,Yes,700,900,900,1000,650,800,700,No, ,No any other promotion going on here, ,9.2785003 12.4342469 189.6 4.16,9.2785003,12.4342469,189.6,4.16,337840206,1a662116-d59f-49b3-b64c-e815d05e6adf,2024-05-10 17:38:28, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,8,,
3,2024-05-10 18:11:11.223,2024-05-10 18:18:31.678,Nuhu adaba , ,North,Adega nite club,Luggere area jimeta yola,lccn alheri,Self-Run, ,Yes, , , , , , , , , , , , , , , , , , , , , ,6PM-7PM,Yes,Yes, , , , ,Recharge card,No, , , , , , , , , , ,Yes,600,800,800,900,700,800,600,Yes,Goldbery are doing 2 to get 1,Buy 2 to get 1 free, ,9.2773991 12.4497098 184.2 4.38,9.2773991,12.4497098,184.2,4.38,337835471,32397d96-2a3e-454c-822f-0591020f9fc0,2024-05-10 17:18:47, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,4,"101 Bishop Street, Jimeta, 640101, Adamawa, Nigeria",ChIJe74vBSZr_BARIYKPQ10P4N0
